"","longitude","latitude","datetime"
"1",-71.108676,42.32791,2022-01-01 14:42:01
"2",-71.108676,42.32791,2022-01-01 14:42:06
"3",-71.108661,42.327948,2022-01-01 14:42:08
"4",-71.10872,42.328172,2022-01-01 14:42:10
"5",-71.108749,42.328165,2022-01-01 14:42:11
"6",-71.108754,42.328145,2022-01-01 14:42:12
"7",-71.108765,42.32813,2022-01-01 14:42:13
"8",-71.108774,42.328123,2022-01-01 14:42:14
"9",-71.108783,42.328116,2022-01-01 14:42:15
"10",-71.108791,42.328109,2022-01-01 14:42:16
"11",-71.108805,42.328095,2022-01-01 14:42:17
"12",-71.108774,42.328009,2022-01-01 14:42:19
"13",-71.108756,42.327958,2022-01-01 14:42:20
"14",-71.108768,42.327946,2022-01-01 14:42:21
"15",-71.108778,42.327946,2022-01-01 14:42:22
"16",-71.108788,42.327945,2022-01-01 14:42:23
"17",-71.108798,42.327944,2022-01-01 14:42:24
"18",-71.108808,42.327943,2022-01-01 14:42:25
"19",-71.108835,42.327919,2022-01-01 14:42:27
"20",-71.10885,42.32789,2022-01-01 14:42:28
"21",-71.108855,42.327859,2022-01-01 14:42:29
"22",-71.108855,42.32785,2022-01-01 14:42:30
"23",-71.108854,42.327822,2022-01-01 14:42:32
"24",-71.108852,42.327794,2022-01-01 14:42:33
"25",-71.108848,42.327763,2022-01-01 14:42:34
"26",-71.108839,42.327744,2022-01-01 14:42:35
"27",-71.108829,42.327731,2022-01-01 14:42:37
"28",-71.10882,42.32772,2022-01-01 14:42:38
"29",-71.108815,42.327711,2022-01-01 14:42:40
"30",-71.108816,42.327711,2022-01-01 14:42:41
"31",-71.108816,42.32771,2022-01-01 14:42:42
"32",-71.108813,42.327706,2022-01-01 14:42:43
"33",-71.108783,42.327698,2022-01-01 14:42:44
"34",-71.108763,42.327691,2022-01-01 14:42:46
"35",-71.108739,42.327679,2022-01-01 14:42:47
"36",-71.10873,42.327675,2022-01-01 14:42:48
"37",-71.108722,42.327671,2022-01-01 14:42:49
"38",-71.108687,42.32766,2022-01-01 14:42:50
"39",-71.108673,42.327656,2022-01-01 14:42:51
"40",-71.108652,42.327648,2022-01-01 14:42:53
"41",-71.108637,42.327641,2022-01-01 14:42:54
"42",-71.108624,42.327634,2022-01-01 14:42:55
"43",-71.108612,42.327631,2022-01-01 14:42:56
"44",-71.108592,42.327631,2022-01-01 14:42:57
"45",-71.108566,42.327624,2022-01-01 14:42:58
"46",-71.108556,42.327621,2022-01-01 14:42:59
"47",-71.108546,42.327618,2022-01-01 14:43:00
"48",-71.108532,42.327617,2022-01-01 14:43:02
"49",-71.108515,42.327634,2022-01-01 14:43:03
"50",-71.108495,42.327661,2022-01-01 14:43:05
"51",-71.108486,42.327678,2022-01-01 14:43:07
"52",-71.108496,42.327683,2022-01-01 14:43:09
"53",-71.108503,42.327683,2022-01-01 14:43:10
"54",-71.108505,42.327686,2022-01-01 14:43:11
"55",-71.108491,42.327696,2022-01-01 14:43:14
"56",-71.108488,42.327698,2022-01-01 14:43:21
"57",-71.108507,42.32768,2022-01-01 14:43:24
"58",-71.108516,42.327671,2022-01-01 14:43:25
"59",-71.108515,42.327666,2022-01-01 14:43:26
"60",-71.108513,42.327651,2022-01-01 14:43:32
"61",-71.108513,42.327649,2022-01-01 14:43:33
"62",-71.10851,42.327646,2022-01-01 14:43:35
"63",-71.108502,42.32764,2022-01-01 14:43:36
"64",-71.108485,42.327623,2022-01-01 14:43:37
"65",-71.108477,42.327614,2022-01-01 14:43:39
"66",-71.10847,42.327605,2022-01-01 14:43:40
"67",-71.108475,42.32759,2022-01-01 14:43:41
"68",-71.108482,42.327578,2022-01-01 14:43:42
"69",-71.108528,42.327569,2022-01-01 14:43:43
"70",-71.108549,42.327569,2022-01-01 14:43:44
"71",-71.108596,42.327575,2022-01-01 14:43:45
"72",-71.108648,42.327595,2022-01-01 14:43:47
